Term Category (en-US),Court ID,Level (en-US),Jurisdiction,Court Type (en-US),Court Type (de-DE),Court Name (de-DE),Court Name (en-EN),Court Name (fr-FR),Court Name (es-ES),Alias (de-DE)
German Courts,128,Regional,Berlin-Brandenburg,Tax Court,Finanzgericht,Finanzgericht Berlin-Brandenburg,,,,
German Courts,129,Regional,Bremen,Tax Court,Finanzgericht,Finanzgericht Bremen,,,,
German Courts,130,Regional,Hamburg,Tax Court,Finanzgericht,Finanzgericht Hamburg,,,,
German Courts,131,Regional,Hessen,Tax Court,Finanzgericht,Hessisches Finanzgericht,,,,
German Courts,132,Regional,Mecklenburg-Vorpommern,Tax Court,Finanzgericht,Finanzgericht Mecklenburg-Vorpommern,,,,
German Courts,133,Regional,Niedersachsen,Tax Court,Finanzgericht,Niedersächsisches Finanzgericht,,,,
German Courts,134,Regional,Düsseldorf,Tax Court,Finanzgericht,Finanzgericht Düsseldorf,,,,
German Courts,135,Regional,Köln,Tax Court,Finanzgericht,Finanzgericht Köln,,,,
German Courts,136,Regional,Münster,Tax Court,Finanzgericht,Finanzgericht Münster,,,,
German Courts,137,Regional,Rheinland-Pfalz,Tax Court,Finanzgericht,Finanzgericht Rheinland-Pfalz,,,,
German Courts,138,Regional,Saarland,Tax Court,Finanzgericht,Finanzgericht des Saarlandes,,,,
German Courts,139,Regional,Sächsisches,Tax Court,Finanzgericht,Sächsisches Finanzgericht,,,,
German Courts,140,Regional,Sachsen-Anhalt,Tax Court,Finanzgericht,Finanzgericht des Landes Sachsen-Anhalt,,,,
German Courts,141,Regional,Schleswig-Holstein,Tax Court,Finanzgericht,Schleswig-Holsteinisches Finanzgericht,,,,
German Courts,142,Regional,Thüringen,Tax Court,Finanzgericht,Thüringer Finanzgericht,,,,
German Courts,143,Supreme Court,Federal,Supreme Social Court,Bundessozialgericht,Bundessozialgericht,Federal Social Court,Tribunal social fédéral,,
German Courts,144,Regional,Baden-Württemberg,Social Court,Landessozialgericht,Landessozialgericht Baden-Württemberg,,,,
German Courts,145,Regional,Bayern,Social Court,Landessozialgericht,Bayerisches Landessozialgericht,,,,
German Courts,146,Regional,Berlin-Brandenburg,Social Court,Landessozialgericht,Landessozialgericht Berlin-Brandenburg,,,,
German Courts,147,Regional,Niedersachsen-Bremen,Social Court,Landessozialgericht,Landessozialgericht Niedersachsen-Bremen,,,,
German Courts,148,Regional,Hamburg,Social Court,Landessozialgericht,Landessozialgericht Hamburg,,,,
German Courts,149,Regional,Hessen,Social Court,Landessozialgericht,Hessisches Landessozialgericht,,,,
German Courts,150,Regional,Mecklenburg-Vorpommern,Social Court,Landessozialgericht,Landessozialgericht Mecklenburg-Vorpommern,,,,
German Courts,151,Regional,Nordrhein-Westfalen,Social Court,Landessozialgericht,Landessozialgericht Nordrhein-Westfalen,,,,
German Courts,152,Regional,Rheinland-Pfalz,Social Court,Landessozialgericht,Landessozialgericht Rheinland-Pfalz,,,,
German Courts,153,Regional,Saarland,Social Court,Landessozialgericht,Landessozialgericht für das Saarland,,,,
German Courts,154,Regional,Sächsisches,Social Court,Landessozialgericht,Sächsisches Landessozialgericht,,,,
German Courts,155,Regional,Sachsen-Anhalt,Social Court,Landessozialgericht,Landessozialgericht Sachsen-Anhalt,,,,
German Courts,156,Regional,Schleswig-Holstein,Social Court,Landessozialgericht,Schleswig-Holsteinisches Landessozialgericht,,,,
German Courts,157,Regional,Thüringen,Social Court,Landessozialgericht,Thüringer Landessozialgericht,,,,
German Courts,158,Supreme Court,Federal,Supreme Federal Adminstrative Court,Bundesverwaltungsgericht,Bundesverwaltungsgericht,,,,
German Courts,159,Regional,Baden-Württemberg,Administrative Court,Verwaltungsgerichtshof,Verwaltungsgerichtshof Baden-Württemberg,,,,
German Courts,160,Regional,Bayern,Administrative Court,Verwaltungsgerichtshof,Bayerischer Verwaltungsgerichtshof,,,,VGH Bayern; BayVGH
German Courts,161,Regional,Berlin-Brandenburg,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Berlin-Brandenburg,,,,OVG Berlin-Brandenburg
German Courts,162,Regional,Bremen,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht der Freien Hansestadt Bremen,,,,OVG der Freien Hansestadt Bremen
German Courts,163,Regional,Hamburg,Administrative Court,Verwaltungsgerichtshof,Hamburgisches Oberverwaltungsgericht,,,,Hamburgisches OVG
German Courts,164,Regional,Hessen,Administrative Court,Verwaltungsgerichtshof,Hessischer Verwaltungsgerichtshof,,,,Hessischer VGH; Hess. VGH
German Courts,165,Regional,Mecklenburg-Vorpommern,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Mecklenburg-Vorpommern,,,,OVG Mecklenburg-Vorpommern
German Courts,166,Regional,Niedersachsen,Administrative Court,Verwaltungsgerichtshof,Niedersächsisches Oberverwaltungsgericht,,,,Niedersächsisches OVG
German Courts,167,Regional,Nordrhein-Westfalen,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht für das Land Nordrhein-Westfalen,,,,OVG für das Land Nordrhein-Westfalen; OVG NRW
German Courts,168,Regional,Rheinland-Pfalz,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht Rheinland-Pfalz,,,,OVG Rheinland-Pfalz
German Courts,169,Regional,Saarland,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht des Saarlandes,,,,OVG des Saarlandes
German Courts,170,Regional,Sächsisches,Administrative Court,Verwaltungsgerichtshof,Sächsisches Oberverwaltungsgericht,,,,Sächsisches OVG
German Courts,171,Regional,Sachsen-Anhalt,Administrative Court,Verwaltungsgerichtshof,Oberverwaltungsgericht des Landes Sachsen-Anhalt,,,,OVG des Landes Sachsen-Anhalt
German Courts,172,Regional,Schleswig-Holstein,Administrative Court,Verwaltungsgerichtshof,Schleswig-Holsteinisches Oberverwaltungsgericht,,,,Schleswig-Holsteinisches OVG
German Courts,173,Regional,Thüringen,Administrative Court,Verwaltungsgerichtshof,Thüringer Oberverwaltungsgericht,,,,Thüringer OVG
